iter	MultiClass
0	1.078726217
1	1.05943264
2	1.040692819
3	1.022498282
4	1.004798544
5	0.9875856063
6	0.9708366636
7	0.9545288373
8	0.9386607043
9	0.9231803266
10	0.9080958166
11	0.8933887682
12	0.8790362732
13	0.865036419
14	0.851373033
15	0.8380201414
16	0.8249775822
17	0.8122319852
18	0.7997829688
19	0.7876028984
20	0.775693914
21	0.7640401205
22	0.7526322886
23	0.7414692498
24	0.7305405687
25	0.7198369245
26	0.7093553625
27	0.6990874418
28	0.6890271415
29	0.679165074
30	0.6694983272
31	0.660018783
32	0.6507226758
33	0.6416046028
34	0.6326582658
35	0.6238830769
36	0.6152729542
37	0.606818969
38	0.598520402
39	0.5903744875
40	0.5823955497
41	0.5745374831
42	0.566817795
43	0.5592369627
44	0.5517860605
45	0.5444638102
46	0.5372695647
47	0.5301970429
48	0.5232452761
49	0.5164088784
50	0.5096871552
51	0.5030774803
52	0.496576943
53	0.4901810964
54	0.4838905159
55	0.4777012582
56	0.4716115867
57	0.4656216798
58	0.4597255513
59	0.4539227193
60	0.448211835
61	0.4425893113
62	0.4370533715
63	0.4316033139
64	0.4262362526
65	0.4209571248
66	0.4157527321
67	0.4106283524
68	0.4055826854
69	0.4006114782
70	0.3957126821
71	0.3908860061
72	0.3861292694
73	0.3814423881
74	0.376826101
75	0.3722753807
76	0.3677921784
77	0.3633723612
78	0.3590163741
79	0.3547326956
80	0.3505007311
81	0.346326545
82	0.342212019
83	0.3381550844
84	0.3341550599
85	0.3302096812
86	0.3263196818
87	0.3224842097
88	0.3186998746
89	0.3149682551
90	0.311286614
91	0.3076560297
92	0.3040753353
93	0.3005407866
94	0.2970545891
95	0.2936166032
96	0.2902229547
97	0.2868755014
98	0.2835729772
99	0.2803138293
100	0.2770974422
101	0.273926483
102	0.2707947127
103	0.267702964
104	0.2646513295
105	0.2616393034
106	0.2586677234
107	0.255733065
108	0.2528361971
109	0.2499767436
110	0.2471546091
111	0.2443686918
112	0.241616377
113	0.2389005243
114	0.2362176955
115	0.2335690853
116	0.2309537874
117	0.2283718365
118	0.225821251
119	0.2233028596
120	0.220816366
121	0.2183604441
122	0.2159349526
123	0.2135397293
124	0.2111730958
125	0.2088363703
126	0.2065341223
127	0.2042532211
128	0.2020013354
129	0.1997779542
130	0.1975806823
131	0.1954097032
132	0.1932645748
133	0.1911456785
134	0.1890509581
135	0.1869823918
136	0.1849405261
137	0.182921655
138	0.1809270552
139	0.1789555677
140	0.1770076861
141	0.1750839898
142	0.1731825278
143	0.1713039333
144	0.1694489106
145	0.1676154214
146	0.1658064453
147	0.164014128
148	0.1622426533
149	0.1604931295
150	0.158761976
151	0.1570523452
152	0.1553622901
153	0.1536924135
154	0.1520434236
155	0.1504122073
156	0.1487995806
157	0.1472058846
158	0.1456302422
159	0.144073445
160	0.1425343939
161	0.1410118499
162	0.1395069052
163	0.1380203583
164	0.1365504787
165	0.1350966146
166	0.1336590936
167	0.1322392446
168	0.1308345693
169	0.1294467459
170	0.128073739
171	0.1267160988
172	0.1253757237
173	0.1240489155
174	0.122737554
175	0.1214404821
176	0.1201569846
177	0.1188891867
178	0.1176353274
179	0.1163965314
180	0.1151702676
181	0.1139575026
182	0.1127587517
183	0.1115737039
184	0.1104011276
185	0.1092419452
186	0.1080953098
187	0.1069613327
188	0.1058400805
189	0.1047315547
190	0.1036352911
191	0.1025508391
192	0.1014782098
193	0.100417422
194	0.09936772864
195	0.09833032493
196	0.09730405873
197	0.09628893018
198	0.0952844924
199	0.09429228234
200	0.09331103879
201	0.09234010704
202	0.09137947889
203	0.09042916392
204	0.08948942006
205	0.08856061694
206	0.08764108991
207	0.08673191344
208	0.08583226723
209	0.08494288955
210	0.08406303455
211	0.08319216951
212	0.08233090119
213	0.0814787289
214	0.08063587054
215	0.07980223448
216	0.07898315885
217	0.07816765236
218	0.07736297618
219	0.07656422813
220	0.07577673598
221	0.07499478115
222	0.07422189859
223	0.07345701809
224	0.07270019907
225	0.07195168166
226	0.07121120094
227	0.07047851182
228	0.06975340811
229	0.06903638433
230	0.06832649472
231	0.06762439643
232	0.06692996635
233	0.06624331075
234	0.0655634784
235	0.06489142798
236	0.06422621004
237	0.06356793068
238	0.06291665575
239	0.06227193574
